protocol,horizon,sim_seed,seed,val_acc,full_acc,val_majority,full_majority,overlap_fraction,n_train,n_val
chronological,5,2,16,0.5255102040816326,0.6055964052287581,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,17,0.5469387755102041,0.5796568627450981,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,18,0.5255102040816326,0.6029411764705882,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,19,0.41020408163265304,0.5827205882352942,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,3,0,0.5153061224489796,0.5678104575163399,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,1,0.41020408163265304,0.5304330065359477,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,2,0.5153061224489796,0.5863970588235294,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,3,0.5224489795918368,0.5537173202614379,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,4,0.4816326530612245,0.6006944444444444,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,5,0.45,0.5912990196078431,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,6,0.4704081632653061,0.5614787581699346,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,7,0.41836734693877553,0.5620915032679739,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,8,0.463265306122449,0.5935457516339869,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,9,0.513265306122449,0.5698529411764706,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,10,0.4561224489795918,0.5968137254901961,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,11,0.45510204081632655,0.6125408496732027,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,12,0.4969387755102041,0.5631127450980392,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,13,0.376530612244898,0.5116421568627451,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,14,0.48673469387755103,0.5735294117647058,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,15,0.4459183673469388,0.5853758169934641,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,16,0.5061224489795918,0.5588235294117647,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,17,0.4816326530612245,0.5866013071895425,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,18,0.4561224489795918,0.5772058823529411,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,3,19,0.47244897959183674,0.5900735294117647,0.5448979591836735,0.5343137254901961,0.10612244897959183,3916,980
chronological,5,4,0,0.4459183673469388,0.5849673202614379,0.5418367346938775,0.551062091503268,0.10612244897959183,3916,980
chronological,5,4,1,0.47346938775510206,0.5980392156862745,0.5418367346938775,0.551062091503268,0.10612244897959183,3916,980
chronological,5,4,2,0.463265306122449,0.5837418300653595,0.5418367346938775,0.551062091503268,0.10612244897959183,3916,980
chronological,5,4,3,0.4387755102040816,0.5631127450980392,0.5418367346938775,0.551062091503268,0.10612244897959183,3916,980
chronological,5,4,4,0.37551020408163266,0.5202205882352942,0.5418367346938775,0.551062091503268,0.10612244897959183,3916,980
