sim_seed,protocol,horizon,split_seed,n_train,n_val,val_majority,oracle_twin_acc,knn1_acc,analytic_ceiling
2,random_split,10,16,3912,979,0.4034729315628192,0.7579162410623085,0.29111338100102147,0.7478695885761109
2,random_split,10,17,3912,979,0.3881511746680286,0.7129724208375894,0.32482124616956076,0.7478695885761109
2,random_split,10,18,3912,979,0.4004085801838611,0.7477017364657814,0.3268641470888662,0.7478695885761109
2,random_split,10,19,3912,979,0.3707865168539326,0.7477017364657814,0.32788559754851887,0.7478695885761109
2,chronological,10,0,3912,979,0.4371807967313585,0.33707865168539325,0.3268641470888662,0.7478695885761109
2,purged_embargoed,10,0,3803,969,0.4375644994840041,0.22394220846233232,0.33126934984520123,0.7478695885761109
2,random_split,20,0,3904,977,0.3725690890481064,0.8085977482088025,0.3162743091095189,0.8093078919469551
2,random_split,20,1,3904,977,0.3633572159672467,0.8147389969293757,0.3193449334698055,0.8093078919469551
2,random_split,20,2,3904,977,0.36438075742067555,0.8178096212896623,0.31525076765609006,0.8093078919469551
2,random_split,20,3,3904,977,0.37461617195496416,0.8147389969293757,0.31218014329580346,0.8093078919469551
2,random_split,20,4,3904,977,0.3602865916069601,0.8096212896622313,0.3193449334698055,0.8093078919469551
2,random_split,20,5,3904,977,0.3725690890481064,0.8300921187308086,0.3101330603889457,0.8093078919469551
2,random_split,20,6,3904,977,0.37154554759467756,0.8239508700102354,0.3132036847492323,0.8093078919469551
2,random_split,20,7,3904,977,0.36438075742067555,0.8004094165813715,0.3091095189355169,0.8093078919469551
2,random_split,20,8,3904,977,0.37154554759467756,0.8362333674513818,0.2917093142272262,0.8093078919469551
2,random_split,20,9,3904,977,0.3797338792221085,0.8147389969293757,0.3111566018423746,0.8093078919469551
2,random_split,20,10,3904,977,0.3858751279426817,0.8259979529170931,0.3367451381780962,0.8093078919469551
2,random_split,20,11,3904,977,0.37871033776867963,0.8157625383828045,0.2937563971340839,0.8093078919469551
2,random_split,20,12,3904,977,0.368474923234391,0.8188331627430911,0.3132036847492323,0.8093078919469551
2,random_split,20,13,3904,977,0.3561924257932446,0.8249744114636642,0.34800409416581374,0.8093078919469551
2,random_split,20,14,3904,977,0.3735926305015353,0.8208802456499488,0.3162743091095189,0.8093078919469551
2,random_split,20,15,3904,977,0.37563971340839303,0.8208802456499488,0.31218014329580346,0.8093078919469551
2,random_split,20,16,3904,977,0.3797338792221085,0.8280450358239508,0.3060388945752303,0.8093078919469551
2,random_split,20,17,3904,977,0.3735926305015353,0.8167860798362334,0.2968270214943705,0.8093078919469551
2,random_split,20,18,3904,977,0.368474923234391,0.8137154554759468,0.33162743091095187,0.8093078919469551
2,random_split,20,19,3904,977,0.38485158648925283,0.8382804503582395,0.32139201637666326,0.8093078919469551
2,chronological,20,0,3904,977,0.40429887410440124,0.40429887410440124,0.3336745138178096,0.8093078919469551
2,purged_embargoed,20,0,3785,957,0.400208986415883,0.27063740856844304,0.33646812957157785,0.8093078919469551
3,random_split,5,0,3916,980,0.5408163265306123,0.6969387755102041,0.39591836734693875,0.689601994186341
3,random_split,5,1,3916,980,0.5081632653061224,0.6724489795918367,0.4061224489795918,0.689601994186341
3,random_split,5,2,3916,980,0.5173469387755102,0.6846938775510204,0.3979591836734694,0.689601994186341
3,random_split,5,3,3916,980,0.5377551020408163,0.6663265306122449,0.4061224489795918,0.689601994186341
3,random_split,5,4,3916,980,0.5571428571428572,0.6857142857142857,0.42346938775510207,0.689601994186341
3,random_split,5,5,3916,980,0.5520408163265306,0.6642857142857143,0.44387755102040816,0.689601994186341
3,random_split,5,6,3916,980,0.5316326530612245,0.6795918367346939,0.39183673469387753,0.689601994186341
3,random_split,5,7,3916,980,0.5346938775510204,0.6795918367346939,0.4051020408163265,0.689601994186341
3,random_split,5,8,3916,980,0.5224489795918368,0.6816326530612244,0.39285714285714285,0.689601994186341
3,random_split,5,9,3916,980,0.5714285714285714,0.6785714285714286,0.41020408163265304,0.689601994186341
3,random_split,5,10,3916,980,0.5438775510204081,0.6755102040816326,0.386734693877551,0.689601994186341
3,random_split,5,11,3916,980,0.5530612244897959,0.6744897959183673,0.42346938775510207,0.689601994186341
3,random_split,5,12,3916,980,0.55,0.6744897959183673,0.3979591836734694,0.689601994186341
3,random_split,5,13,3916,980,0.5306122448979592,0.6908163265306122,0.4030612244897959,0.689601994186341
3,random_split,5,14,3916,980,0.5316326530612245,0.6673469387755102,0.39591836734693875,0.689601994186341
3,random_split,5,15,3916,980,0.5387755102040817,0.6795918367346939,0.39285714285714285,0.689601994186341
3,random_split,5,16,3916,980,0.5255102040816326,0.6846938775510204,0.39285714285714285,0.689601994186341
3,random_split,5,17,3916,980,0.5612244897959183,0.686734693877551,0.39081632653061227,0.689601994186341
3,random_split,5,18,3916,980,0.5387755102040817,0.6724489795918367,0.39591836734693875,0.689601994186341
